Respondent,Response,Year,Value1,Value2,Undecided
Germany,Good,2017,0.42,0.43,2
Germany,Good,2018,0.24,0.255,3
Germany,Good,2019,0.34,0.35,2
Germany,Good,2020,0.18,0.195,3
United States,Good,2017,0.68,0.73,10
United States,Good,2018,0.7,0.725,5
United States,Good,2019,0.75,0.79,8
United States,Good,2020,0.74,0.765,5
Germany,Bad,2017,0.56,0.57,2
Germany,Bad,2018,0.73,0.745,3
Germany,Bad,2019,0.64,0.65,2
Germany,Bad,2020,0.79,0.805,3
United States,Bad,2017,0.22,0.27,10
United States,Bad,2018,0.25,0.275,5
United States,Bad,2019,0.17,0.21,8
United States,Bad,2020,0.21,0.235,5
