Respondent,Response,Year,Value1,Value2
Germany,Good,2017,0.42,0.43
Germany,Good,2018,0.24,0.255
Germany,Good,2019,0.34,0.35
Germany,Good,2020,0.18,0.195
United States,Good,2017,0.68,0.73
United States,Good,2018,0.7,0.725
United States,Good,2019,0.75,0.79
United States,Good,2020,0.74,0.765
Germany,Bad,2017,0.56,0.57
Germany,Bad,2018,0.73,0.745
Germany,Bad,2019,0.64,0.65
Germany,Bad,2020,0.79,0.805
United States,Bad,2017,0.22,0.27
United States,Bad,2018,0.25,0.275
United States,Bad,2019,0.17,0.21
United States,Bad,2020,0.21,0.235
